#	run	go		gi		gc		sh	fr			fru			a			au			b			bu			c			cu			th			thu			el			elu			a_			au_			c_			cu_
	31	15.0	5.0		20.0	6	0.170375	0.002274	1.685780	0.107979	0.591359	0.053081	1.113388	0.035172	8.422416	0.844179	15.380074	2.251452	1.685423	0.117911	1.322918	0.066627
	32	15.0	5.0		20.0	7	0.164864	0.001633	1.697328	0.073246	0.592629	0.027964	1.095784	0.033713	8.235763	0.722978	15.059629	1.990569	1.692541	0.074738	1.306685	0.029098
	33	15.0	5.0		20.0	8	0.160102	0.001416	1.756736	0.067697	0.570793	0.022590	1.091529	0.033405	8.347871	0.710930	14.686322	2.033205	1.762093	0.075942	1.323553	0.026548
	27	30.0	15.0	30.0	5	0.169893	0.002358	1.825982	0.068477	0.548005	0.020060	1.087373	0.034519	8.645847	0.826949	16.496908	2.818500	1.852592	0.078182	1.368699	0.035593
	28	30.0	15.0	10.0	5	0.207055	0.004888	1.926624	0.085093	0.507109	0.027037	1.105336	0.031561	9.330383	0.920468	19.615706	3.477136	1.989104	0.101135	1.453008	0.068610
	30	30.0	15.0	30.0	5	0.170981	0.002349	1.855141	0.066849	0.536070	0.020471	1.090762	0.033137	8.917889	0.814754	16.652714	2.577247	1.888563	0.079989	1.390170	0.040585
	31	30.0	10.0	30.0	5	0.176757	0.003123	1.929655	0.075535	0.520354	0.023482	1.072498	0.031631	10.003003	0.821222	16.096719	2.907865	1.929725	0.077689	1.472694	0.053639
	32	30.0	20.0	30.0	5	0.168398	0.002570	1.767671	0.071131	0.560297	0.022935	1.107379	0.038732	7.615647	0.856152	17.125411	2.722966	1.797635	0.082940	1.316650	0.037833
	33	15.0	15.0	15.0	5	0.190040	0.002263	1.550272	0.086169	0.659208	0.043985	1.092236	0.030028	7.977071	0.834955	17.817922	2.341451	1.530801	0.083232	1.260361	0.037509
	34	15.0	10.0	15.0	5	0.195644	0.003676	1.780859	0.089029	0.551825	0.041832	1.119419	0.030663	10.334106	0.665770	12.286488	2.066672	1.774850	0.090335	1.456965	0.069320
	35	15.0	20.0	15.0	5	0.185418	0.002257	1.606462	0.019822	0.602953	0.008286	1.152185	0.012856	6.758655	0.445689	20.637388	2.837492	1.612584	0.024526	1.293515	0.027479
	36	30.0	15.0	15.0	5	0.197462	0.003880	1.849682	0.073437	0.538534	0.020197	1.091214	0.037507	8.904997	0.860158	18.859308	3.316085	1.861216	0.080326	1.400105	0.043989
	37	30.0	10.0	15.0	5	0.202962	0.004259	1.941099	0.077902	0.516356	0.023831	1.074240	0.032140	10.226116	0.852050	18.967661	3.555360	1.946201	0.084610	1.496470	0.060482
	38	30.0	20.0	15.0	5	0.195932	0.003845	1.893206	0.101684	0.508637	0.037159	1.129893	0.029259	8.564470	1.036456	19.646495	3.350656	1.938965	0.119584	1.421517	0.081562
	39	60.0	15.0	15.0	5	0.079088	0.008914	1.815527	0.069748	0.548146	0.020255	1.100465	0.052596	10.184096	2.066476	21.895443	4.919224	1.848840	0.076557	1.476370	0.106158
	40	60.0	10.0	15.0	5	0.079886	0.004899	1.856578	0.078264	0.542847	0.021841	1.084828	0.053626	11.473436	2.053678	24.127815	5.815120	1.858261	0.077752	1.558762	0.117554
	41	60.0	20.0	15.0	5	0.080221	0.009389	1.490763	0.058762	0.458383	0.018540	1.174057	0.054736	9.571950	2.008555	22.129232	5.156733	1.849574	0.078527	1.436602	0.096168
	42	15.0	15.0	30.0	5	0.155449	0.001978	1.253150	0.065590	0.569681	0.036504	1.144829	0.028727	8.168259	0.932626	16.038443	2.309667	1.500281	0.077978	1.239683	0.037433
	43	15.0	10.0	30.0	5	0.161180	0.004278	1.412757	0.072180	0.493650	0.035718	1.159908	0.030334	10.088469	0.665708	11.747326	1.864324	1.681521	0.082010	1.397420	0.055827
	44	15.0	20.0	30.0	5	0.160945	0.003331	1.130353	0.078059	0.635317	0.052876	1.151000	0.028531	7.579804	1.238178	24.787213	3.529862	1.345611	0.098333	1.195243	0.038712
	45	30.0	15.0	30.0	5	0.173067	0.002616	1.529487	0.065597	0.449695	0.023783	1.157881	0.034566	8.795733	0.851309	16.930190	2.788780	1.861562	0.086533	1.385818	0.053900
	46	30.0	10.0	30.0	5	0.178799	0.004439	1.597553	0.064901	0.435874	0.022077	1.132486	0.032290	10.174082	0.824269	16.729314	2.960509	1.916575	0.079654	1.480403	0.057297
	47	30.0	20.0	30.0	5	0.170994	0.003390	1.502997	0.077313	0.450994	0.031658	1.182803	0.035214	7.956234	0.841827	17.173260	2.810514	1.838518	0.100461	1.350143	0.061964
	48	60.0	15.0	30.0	5	0.069350	0.003460	1.484392	0.062631	0.467731	0.019215	1.156091	0.055503	10.355841	2.025985	20.242135	4.506918	1.806669	0.079243	1.466891	0.094195
	49	60.0	10.0	30.0	5	0.074139	0.004858	1.534852	0.066238	0.455575	0.020096	1.143933	0.053228	11.212553	1.890510	22.055730	4.913905	1.837953	0.077486	1.534734	0.099512
	50	60.0	20.0	30.0	5	0.071756	0.004096	1.469722	0.057118	0.470370	0.017692	1.161550	0.049380	9.590690	1.771378	20.349045	4.502161	1.804628	0.075556	1.420728	0.078750
	54	30.0	15.0	10.0	5	0.210789	0.003713	1.614145	0.070699	0.417317	0.024341	1.171534	0.030968	9.606711	0.906685	20.022328	3.561867	1.990874	0.099956	1.477592	0.076061
	55	30.0	15.0	5.0		5	0.223665	0.004183	1.619522	0.067888	0.415650	0.022557	1.170632	0.031552	9.892360	1.002274	21.160277	3.553178	2.016670	0.105754	1.498114	0.077477
	56	15.0	10.0	5.0		5	0.233676	0.004151	1.515074	0.079329	0.443882	0.034975	1.192267	0.032305	10.835224	0.851680	14.759860	2.411972	1.843482	0.106720	1.515104	0.086856
	57	30.0	10.0	5.0		5	0.229465	0.005150	1.660233	0.067060	0.413721	0.020241	1.141203	0.030363	10.860518	0.837719	21.676616	4.259922	2.026715	0.095046	1.561826	0.073751
	58	60.0	10.0	5.0		5	0.083148	0.004242	1.548915	0.057323	0.448704	0.015380	1.150881	0.059833	11.814947	2.135787	25.461856	5.718853	1.881303	0.072265	1.584418	0.119938
	59	15.0	15.0	5.0		5	0.226511	0.002718	1.471305	0.098155	0.449404	0.050197	1.225549	0.036090	9.376032	1.020806	17.814740	3.995431	1.812717	0.148072	1.437598	0.089400
	60	60.0	15.0	5.0		5	0.080768	0.004316	1.515576	0.060675	0.451938	0.017830	1.169781	0.059275	10.580106	2.130938	23.378018	5.178381	1.875609	0.082603	1.503647	0.109916
	61	15.0	20.0	5.0		5	0.217145	0.002827	1.430053	0.021392	0.451578	0.005929	1.255617	0.017299	7.680704	0.484985	19.973176	2.914121	1.762474	0.027101	1.374844	0.030676
	62	30.0	20.0	5.0		5	0.220380	0.003935	1.594777	0.076933	0.416432	0.026533	1.194751	0.035123	9.041152	1.045855	22.581013	3.825407	1.992782	0.127187	1.458274	0.078733
	63	60.0	20.0	5.0		5	0.292418	0.356953	1.464071	0.066758	0.467023	0.018302	1.178480	0.058192	9.536304	2.119830	23.326300	5.095130	1.827232	0.088723	1.437444	0.092469
	64	45.0	10.0	5.0		5	0.140041	0.013369	1.611700	0.057601	0.427045	0.017308	1.149194	0.035714	10.990055	1.066605	23.786845	5.088520	1.970633	0.082335	1.555385	0.072463
	65	45.0	15.0	5.0		5	0.134800	0.013150	1.538931	0.059322	0.444566	0.018250	1.165716	0.041100	9.607570	1.223178	23.622098	4.509050	1.910165	0.082051	1.458268	0.068152
	66	45.0	20.0	5.0		5	0.133818	0.012295	1.528383	0.068702	0.438062	0.025244	1.195316	0.040222	8.858113	1.138970	23.602047	4.349878	1.936029	0.112756	1.428947	0.072681
	67	45.0	10.0	15.0	5	0.129313	0.010768	1.571024	0.063441	0.443943	0.016892	1.138869	0.040227	10.389694	1.185063	21.792695	4.269620	1.889675	0.077294	1.498666	0.067479
	68	45.0	15.0	15.0	5	0.126732	0.010905	1.529293	0.060777	0.450176	0.017601	1.158029	0.038880	9.429768	1.060613	21.138799	4.154024	1.867897	0.079326	1.435120	0.055937
	69	45.0	20.0	15.0	5	0.123935	0.012991	1.477496	0.064051	0.463012	0.020277	1.174381	0.043615	8.381747	1.218518	22.380260	4.885586	1.819348	0.086311	1.373963	0.054274
